Date,Instagram_Minutes,YouTube_Minutes,WhatsApp_Minutes,LinkedIn_Minutes,Reels_Watched,Videos_Watched,Messages_Sent,Posts_Liked,Study_Minutes,Total_Screen_Time,Screen_Hours,Digital_Balance,Day_Type
2026-08-22,131,206,140,6,175,91,317,58,135,483,8.05,0.2795,Heavy
2026-08-23,115,226,97,26,115,46,235,41,169,464,7.73,0.3642,Heavy
2026-08-24,179,161,25,66,130,37,66,59,135,431,7.18,0.3132,Heavy
2026-08-25,132,49,138,30,102,8,312,49,120,349,5.82,0.3438,Heavy
2026-08-26,176,175,150,74,192,26,311,82,290,575,9.58,0.5043,Heavy
2026-08-27,61,128,12,5,60,39,27,12,176,206,3.43,0.8544,Normal
2026-08-28,97,73,131,53,77,31,277,26,296,354,5.9,0.8362,Heavy
2026-08-29,114,288,79,19,134,64,223,80,165,500,8.33,0.33,Heavy
2026-08-30,226,195,94,17,308,42,174,160,20,532,8.87,0.0376,Heavy
2026-08-31,26,79,42,39,29,15,92,14,67,186,3.1,0.3602,Normal
2026-09-01,59,205,176,53,74,51,355,20,205,493,8.22,0.4158,Heavy
2026-09-02,23,140,15,37,21,34,36,7,137,215,3.58,0.6372,Normal
2026-09-03,127,33,72,20,141,9,241,97,333,252,4.2,1.3214,Normal
2026-09-04,27,22,88,28,34,9,288,18,76,165,2.75,0.4606,Normal
2026-09-05,89,139,96,12,90,22,279,20,179,336,5.6,0.5327,Heavy
2026-09-06,151,114,176,14,117,47,538,67,180,455,7.58,0.3956,Heavy
2026-09-07,41,128,54,36,48,56,87,12,226,259,4.32,0.8726,Normal
2026-09-08,94,100,49,25,79,38,164,47,101,268,4.47,0.3769,Normal
2026-09-09,63,71,82,33,86,28,176,40,58,249,4.15,0.2329,Normal
2026-09-10,140,150,163,48,190,28,418,62,343,501,8.35,0.6846,Heavy
2026-09-11,140,181,159,33,89,50,460,49,252,513,8.55,0.4912,Heavy
2026-09-12,178,236,108,5,220,84,357,82,96,527,8.78,0.1822,Heavy
2026-09-13,105,120,33,22,106,30,100,53,111,280,4.67,0.3964,Normal
2026-09-14,115,137,11,30,98,57,37,25,84,293,4.88,0.2867,Normal
2026-09-15,176,61,74,40,215,25,139,99,112,351,5.85,0.3191,Heavy
2026-09-16,114,28,85,61,118,8,206,29,66,288,4.8,0.2292,Normal
2026-09-17,70,150,166,39,49,40,274,25,112,425,7.08,0.2635,Heavy
2026-09-18,113,142,140,2,140,34,440,35,181,397,6.62,0.4559,Heavy
2026-09-19,83,210,16,8,61,33,61,16,130,317,5.28,0.4101,Heavy
2026-09-20,62,256,169,19,56,83,515,21,56,506,8.43,0.1107,Heavy
