Student_ID,Branch,Python_Score,SQL_Score,Aptitude_Score,Communication_Score,Projects_Completed,Mock_Interviews_Attended
S0001,CSE,96,86,68,43,4,2
S0002,ECE,65,55,68,39,2,1
S0003,CSE,52,52,38,43,3,1
S0004,CSE,80,65,64,56,3,6
S0005,CSE,47,55,54,34,2,1
S0006,CSE,95,86,81,51,2,4
S0007,ECE,52,27,58,63,2,3
S0008,ECE,41,55,43,50,0,5
S0009,ECE,74,90,72,61,3,4
S0010,ECE,100,77,68,69,4,2
S0011,CSE,66,67,71,71,2,4
S0012,CSE,78,76,73,83,3,7
S0013,ECE,66,69,89,60,3,5
S0014,CSE,57,41,42,28,2,2
S0015,CSE,63,46,68,25,3,5
S0016,IT,59,76,62,49,4,4
S0017,CSE,89,90,86,77,5,5
S0018,ECE,26,19,21,13,0,2
S0019,ECE,57,76,73,59,3,4
S0020,IT,100,81,100,40,4,4
S0021,CSE,90,77,88,75,4,4
S0022,CSE,74,73,51,58,3,3
S0023,IT,65,86,34,53,4,0
S0024,CSE,50,64,70,35,3,4
S0025,CSE,39,54,63,27,2,2
S0026,MECH,66,100,62,40,4,2
S0027,IT,50,56,51,48,3,0
S0028,MECH,40,66,57,15,3,6
S0029,MECH,84,54,78,63,1,7
S0030,CSE,75,84,66,38,4,5
S0031,IT,94,98,88,99,6,2
S0032,IT,39,51,54,19,0,1
S0033,CSE,72,83,83,67,3,5
S0034,ECE,70,43,82,53,3,4
S0035,MECH,48,62,61,43,3,7
S0036,CSE,36,48,32,36,3,1
S0037,ECE,56,42,60,42,3,0
S0038,ECE,26,34,54,37,3,1
S0039,MECH,42,50,62,42,1,4
S0040,IT,93,82,74,48,3,7
S0041,CSE,47,54,44,46,1,0
S0042,CSE,80,55,76,46,2,3
S0043,IT,47,53,53,41,4,4
S0044,IT,60,42,49,52,3,3
S0045,ECE,69,55,60,61,1,4
S0046,ECE,68,50,38,75,0,2
S0047,MECH,66,82,65,44,4,5
S0048,IT,72,65,61,40,3,5
S0049,ECE,74,90,66,65,4,2
S0050,CSE,48,54,45,38,2,5
S0051,IT,68,65,62,37,2,5
S0052,CSE,65,78,51,30,3,1
S0053,CSE,64,60,44,50,3,1
S0054,CSE,77,71,61,19,0,3
S0055,CSE,76,62,62,84,4,4
S0056,ECE,66,60,43,41,2,1
S0057,CSE,72,76,49,54,3,1
S0058,ECE,78,64,48,46,4,6
S0059,IT,91,55,69,67,4,2
S0060,IT,41,56,36,35,2,1
S0061,ECE,65,77,77,81,5,0
S0062,CSE,29,25,33,10,2,1
S0063,CSE,63,61,47,40,5,3
S0064,ECE,25,36,45,28,1,3
S0065,MECH,71,53,55,52,2,0
S0066,CSE,46,27,47,52,1,3
S0067,IT,61,39,56,40,2,7
S0068,CSE,27,8,40,0,3,1
S0069,IT,87,78,76,75,3,2
S0070,IT,58,69,57,66,3,4
S0071,IT,65,66,68,46,2,5
S0072,MECH,83,66,66,68,3,0
S0073,IT,55,55,50,21,2,2
S0074,IT,78,82,83,46,1,5
S0075,CSE,81,81,73,76,3,2
S0076,CSE,50,73,63,60,4,0
S0077,IT,68,51,64,44,2,6
S0078,ECE,94,65,72,51,3,4
S0079,MECH,63,44,49,35,2,3
S0080,IT,68,66,66,14,3,4
S0081,IT,22,49,29,11,2,1
S0082,CSE,64,78,56,69,6,4
S0083,ECE,61,68,70,62,4,4
S0084,IT,69,27,34,44,2,1
S0085,IT,77,100,59,52,3,4
S0086,CSE,57,52,67,23,4,3
S0087,CSE,51,42,42,15,3,4
S0088,ECE,36,47,29,38,1,4
S0089,MECH,64,48,23,28,2,1
S0090,CSE,55,55,60,10,1,3
S0091,IT,59,61,52,29,0,4
S0092,IT,95,75,88,53,4,3
S0093,CSE,84,93,72,81,2,4
S0094,CSE,55,56,54,23,1,3
S0095,ECE,57,64,87,34,2,2
S0096,CSE,23,42,11,0,2,2
S0097,CSE,74,67,46,30,3,3
S0098,CSE,80,84,56,51,2,5
S0099,CSE,83,67,87,78,5,4
S0100,CSE,42,42,27,31,3,6
S0101,CSE,81,94,72,77,1,2
S0102,CSE,75,83,80,41,5,2
S0103,IT,68,69,53,31,2,3
S0104,IT,92,69,78,55,4,2
S0105,CSE,72,56,72,47,2,3
S0106,MECH,50,52,46,4,2,3
S0107,ECE,62,63,55,39,4,6
S0108,CSE,86,82,88,67,3,2
S0109,IT,68,75,70,51,4,6
S0110,MECH,80,53,40,70,3,2
S0111,CSE,49,58,42,1,1,5
S0112,CSE,97,65,76,74,2,7
S0113,CSE,60,69,64,29,0,3
S0114,ECE,53,67,55,69,3,1
S0115,CSE,26,39,33,31,1,0
S0116,MECH,32,46,50,45,1,5
S0117,CSE,33,23,40,17,1,3
S0118,CSE,72,82,63,32,4,2
S0119,CSE,50,18,43,28,2,1
S0120,CSE,39,36,30,15,2,1
