Student_ID,Branch,Python_Score,SQL_Score,Aptitude_Score,Communication_Score,Projects_Completed,Mock_Interviews_Attended,Total_Score,Average_Score,Weakest_Skill_Score,Readiness_Score,Readiness_Band
S0001,CSE,96,86,68,43,4,2,293,73.25,43,83.25,Ready
S0002,ECE,65,55,68,39,2,1,227,56.75,39,61.75,Almost Ready
S0003,CSE,52,52,38,43,3,1,185,46.25,38,53.25,Needs Work
S0004,CSE,80,65,64,56,3,6,265,66.25,56,78.25,Ready
S0005,CSE,47,55,54,34,2,1,190,47.5,34,52.5,Needs Work
S0006,CSE,95,86,81,51,2,4,313,78.25,51,86.25,Ready
S0007,ECE,52,27,58,63,2,3,200,50.0,27,57.0,Needs Work
S0008,ECE,41,55,43,50,0,5,189,47.25,41,52.25,Needs Work
S0009,ECE,74,90,72,61,3,4,297,74.25,61,84.25,Ready
S0010,ECE,100,77,68,69,4,2,314,78.5,68,88.5,Ready
S0011,CSE,66,67,71,71,2,4,275,68.75,66,76.75,Ready
S0012,CSE,78,76,73,83,3,7,310,77.5,73,90.5,Ready
S0013,ECE,66,69,89,60,3,5,284,71.0,60,82.0,Ready
S0014,CSE,57,41,42,28,2,2,168,42.0,28,48.0,Needs Work
S0015,CSE,63,46,68,25,3,5,202,50.5,25,61.5,Almost Ready
S0016,IT,59,76,62,49,4,4,246,61.5,49,73.5,Almost Ready
S0017,CSE,89,90,86,77,5,5,342,85.5,77,100.0,Ready
S0018,ECE,26,19,21,13,0,2,79,19.75,13,21.75,Needs Work
S0019,ECE,57,76,73,59,3,4,265,66.25,57,76.25,Ready
S0020,IT,100,81,100,40,4,4,321,80.25,40,92.25,Ready
S0021,CSE,90,77,88,75,4,4,330,82.5,75,94.5,Ready
S0022,CSE,74,73,51,58,3,3,256,64.0,51,73.0,Almost Ready
S0023,IT,65,86,34,53,4,0,238,59.5,34,67.5,Almost Ready
S0024,CSE,50,64,70,35,3,4,219,54.75,35,64.75,Almost Ready
S0025,CSE,39,54,63,27,2,2,183,45.75,27,51.75,Needs Work
S0026,MECH,66,100,62,40,4,2,268,67.0,40,77.0,Ready
S0027,IT,50,56,51,48,3,0,205,51.25,48,57.25,Needs Work
S0028,MECH,40,66,57,15,3,6,178,44.5,15,56.5,Needs Work
S0029,MECH,84,54,78,63,1,7,279,69.75,54,78.75,Ready
S0030,CSE,75,84,66,38,4,5,263,65.75,38,78.75,Ready
S0031,IT,94,98,88,99,6,2,379,94.75,88,100.0,Ready
S0032,IT,39,51,54,19,0,1,163,40.75,19,41.75,Needs Work
S0033,CSE,72,83,83,67,3,5,305,76.25,67,87.25,Ready
S0034,ECE,70,43,82,53,3,4,248,62.0,43,72.0,Almost Ready
S0035,MECH,48,62,61,43,3,7,214,53.5,43,66.5,Almost Ready
S0036,CSE,36,48,32,36,3,1,152,38.0,32,45.0,Needs Work
S0037,ECE,56,42,60,42,3,0,200,50.0,42,56.0,Needs Work
S0038,ECE,26,34,54,37,3,1,151,37.75,26,44.75,Needs Work
S0039,MECH,42,50,62,42,1,4,196,49.0,42,55.0,Needs Work
